DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
23-Aug-2021,EQ,689.95,689.95,673.85,680.70,682.50,682.70,680.00,717.40,333.75,10917371,"7,42,37,96,478.00",196591
20-Aug-2021,EQ,683.85,684.40,675.35,688.30,681.95,680.70,679.78,717.40,333.75,13121808,"8,91,99,40,840.10",236946
18-Aug-2021,EQ,700.85,700.85,683.60,701.20,686.90,688.30,692.37,717.40,333.75,11069373,"7,66,40,61,171.60",175840
17-Aug-2021,EQ,699.80,702.90,691.50,702.65,701.75,701.20,697.33,717.40,333.75,8669653,"6,04,56,27,641.95",160012
16-Aug-2021,EQ,702.40,707.40,698.65,704.80,702.35,702.65,702.19,717.40,333.75,7920846,"5,56,19,67,502.85",147904
13-Aug-2021,EQ,707.05,709.90,701.00,701.35,704.30,704.80,705.29,717.40,333.75,12787590,"9,01,89,90,138.90",173365
12-Aug-2021,EQ,693.50,702.95,693.30,693.55,702.40,701.35,699.27,717.40,333.75,8840339,"6,18,17,48,922.60",136456
11-Aug-2021,EQ,706.25,707.15,690.00,700.90,693.80,693.55,693.65,717.40,333.75,9748084,"6,76,17,83,589.00",154991
10-Aug-2021,EQ,704.10,708.30,697.30,702.85,700.80,700.90,702.54,717.40,333.75,10843554,"7,61,80,03,008.05",212926
09-Aug-2021,EQ,697.40,706.30,694.35,697.65,703.00,702.85,700.84,717.40,333.75,8602980,"6,02,93,48,197.00",169136
06-Aug-2021,EQ,705.05,706.00,695.70,702.45,699.90,697.65,698.75,717.40,333.75,14701949,"10,27,29,53,939.85",168421
05-Aug-2021,EQ,715.50,716.50,699.05,714.65,701.50,702.45,705.46,717.40,333.75,17774554,"12,53,91,58,926.95",268685
04-Aug-2021,EQ,694.00,717.40,693.20,690.40,712.05,714.65,709.83,717.40,333.75,28730606,"20,39,39,67,388.20",317070
03-Aug-2021,EQ,683.00,691.90,676.65,681.40,690.05,690.40,683.66,692.50,333.75,10162609,"6,94,77,28,241.65",159625
02-Aug-2021,EQ,684.05,688.05,677.70,682.50,682.00,681.40,683.12,692.50,333.75,9348206,"6,38,59,64,026.15",185366
30-Jul-2021,EQ,687.00,687.65,678.00,687.50,682.25,682.50,681.99,692.50,333.75,14536250,"9,91,35,24,711.05",188365
29-Jul-2021,EQ,692.50,692.50,683.10,685.05,688.10,687.50,688.01,692.50,333.75,11043138,"7,59,77,81,786.25",165381
