DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
10-Nov-2023,EQ,577.80,581.00,575.40,578.35,580.25,579.50,578.70,629.55,499.35,6773038,"3,91,95,67,928.90",119792
09-Nov-2023,EQ,581.00,581.85,576.50,580.30,577.60,578.35,578.27,629.55,499.35,12434363,"7,19,04,09,015.15",167584
08-Nov-2023,EQ,581.90,582.60,579.00,579.75,580.40,580.30,580.52,629.55,499.35,15434808,"8,96,01,48,835.65",391419
07-Nov-2023,EQ,574.80,581.20,572.60,574.35,580.35,579.75,577.36,629.55,499.35,17923281,"10,34,81,72,706.10",466280
06-Nov-2023,EQ,582.00,582.50,573.25,578.15,573.95,574.35,575.70,629.55,499.35,16499138,"9,49,84,82,029.95",330138
03-Nov-2023,EQ,576.00,579.50,573.45,572.10,579.15,578.15,577.35,629.55,499.35,11371371,"6,56,52,79,355.45",205720
02-Nov-2023,EQ,571.10,575.45,567.60,566.40,572.00,572.10,571.18,629.55,499.35,11148516,"6,36,78,49,377.00",212716
01-Nov-2023,EQ,566.25,569.65,563.85,565.55,567.30,566.40,567.16,629.55,499.35,13575575,"7,69,95,15,897.65",240220
31-Oct-2023,EQ,567.00,569.50,563.15,565.20,565.95,565.55,566.37,629.55,499.35,13039696,"7,38,53,12,631.25",236664
30-Oct-2023,EQ,563.00,566.70,556.50,561.15,566.20,565.20,562.29,629.55,499.35,8593704,"4,83,21,88,898.35",191150
27-Oct-2023,EQ,550.00,562.50,550.00,547.00,561.70,561.15,558.49,629.55,499.35,10415296,"5,81,68,77,868.95",210599
26-Oct-2023,EQ,551.45,552.90,543.20,556.20,547.00,547.00,547.27,629.55,499.35,19424825,"10,63,06,51,336.60",317445
25-Oct-2023,EQ,558.60,560.80,553.60,552.95,556.60,556.20,557.67,629.55,499.35,12134624,"6,76,71,61,161.25",262171
23-Oct-2023,EQ,563.10,566.00,551.00,563.10,552.40,552.95,559.35,629.55,499.35,11875035,"6,64,23,19,960.75",263251
20-Oct-2023,EQ,569.90,570.00,562.10,571.20,562.80,563.10,565.15,629.55,499.35,11110988,"6,27,93,75,187.50",282726
19-Oct-2023,EQ,569.80,574.00,567.00,572.65,571.30,571.20,570.92,629.55,499.35,11441499,"6,53,21,50,778.60",239777
18-Oct-2023,EQ,577.75,579.25,569.35,576.45,572.75,572.65,573.26,629.55,499.35,11777454,"6,75,15,31,244.10",270057
17-Oct-2023,EQ,577.70,579.95,575.30,575.65,576.70,576.45,577.46,629.55,499.35,10765224,"6,21,64,66,935.70",269728
16-Oct-2023,EQ,576.00,578.75,571.50,576.15,575.50,575.65,576.02,629.55,499.35,11290293,"6,50,33,88,837.60",485503
13-Oct-2023,EQ,577.75,581.30,574.80,586.05,576.20,576.15,577.07,629.55,499.35,19064577,"11,00,16,25,403.05",465129
12-Oct-2023,EQ,590.80,593.00,585.00,588.35,585.60,586.05,588.33,629.55,499.35,11983797,"7,05,03,77,951.75",171954
11-Oct-2023,EQ,596.90,597.00,587.60,591.65,588.90,588.35,591.39,629.55,499.35,14220119,"8,40,95,71,970.95",209131
10-Oct-2023,EQ,587.00,595.00,585.75,585.10,591.20,591.65,590.68,629.55,499.35,10373508,"6,12,74,06,833.20",250192
09-Oct-2023,EQ,588.00,589.00,581.55,594.25,584.55,585.10,584.53,629.55,499.35,9189597,"5,37,16,08,921.20",235554
06-Oct-2023,EQ,593.40,598.95,592.20,592.15,594.00,594.25,595.04,629.55,499.35,8216780,"4,88,92,95,417.95",187684
